ID_Patch,ID_Origen,Puerto_Origen,ID_Destino,Puerto_Destino,Tipo_Senial,Estado,Notas,Metadatos
E-DLY1-ILK1/A-DL1-SPK1,E-DLY1-ILK1,AC 220v Out,A-DL1-SPK1,AC 220v In,Electricidad AC 220v,Desconectado,,{}
E-DLY1-ILK2/A-DL1-SPK2,E-DLY1-ILK2,AC 220v Out,A-DL1-SPK2,AC 220v In,Electricidad AC 220v,Desconectado,,{}
R-FOH-NET/R-FORK-ROUTER,R-FOH-NET,RJ45,R-FORK-ROUTER,WAN,Red Ethernet,Desconectado,,{}
E-PLA-ILK1/A-PLA-SPK1,E-PLA-ILK1,AC 220v Out,A-PLA-SPK1,AC 220v In,Electricidad AC 220v,Desconectado,,{}
E-PLA-ILK2/A-PLA-SPK2,E-PLA-ILK2,AC 220v Out,A-PLA-SPK2,AC 220v In,Electricidad AC 220v,Desconectado,,{}
E-PLA-ILK3/A-PLA-SPK3,E-PLA-ILK3,AC 220v Out,A-PLA-SPK3,AC 220v In,Electricidad AC 220v,Desconectado,,{}
E-PLA-ILK4/A-PLA-SPK4,E-PLA-ILK4,AC 220v Out,A-PLA-SPK4,AC 220v In,Electricidad AC 220v,Desconectado,,{}
E-PLA-ILK5/A-PLA-SPK5,E-PLA-ILK5,AC 220v Out,A-PLA-SPK5,AC 220v In,Electricidad AC 220v,Desconectado,,{}
E-DLY2-ILK1/A-DL2-SPK1,E-DLY2-ILK1,AC 220v Out,A-DL2-SPK1,AC 220v In,Electricidad AC 220v,Desconectado,,{}
E-DLY2-ILK2/A-DL2-SPK2,E-DLY2-ILK2,AC 220v Out,A-DL2-SPK2,AC 220v In,Electricidad AC 220v,Desconectado,,{}
E-CPA-ILK/A-CPA-SPK1,E-CPA-ILK,AC 220v Out,A-CPA-SPK1,AC 220v In,Electricidad AC 220v,Desconectado,,{}
E-CPB-ILK/A-CPB-SPK2,E-CPB-ILK,AC 220v Out,A-CPB-SPK2,AC 220v In,Electricidad AC 220v,Desconectado,,{}
E-FOH-ALZ2/E-FOH-AL15,E-FOH-ALZ2,Toma 220v 1,E-FOH-AL15,AC 220v In,Electricidad AC 220v,Desconectado,,{}
